Numero de datos: 200
Los resultados están dados en nanosegundos
	Insertion Sort   Merge Sort      Quick Sort      Stooge Sort
10		10691			24377			0000			0000
20		18389			26514			0000			0000
30		37634			34212			0000			0000
40		27797			52173			0000			0000
50		27370			78261			0000			0000
60		35068			92374			0000			0000
70		47469			97078			0000			0000
80		91090			33357			0000			0000
90		115039			30791			0000			0000
100		136849			25660			0000			0000
110		157804			20956			0000			0000
120		180042			26515			0000			0000
130		213399			24804			0000			0000
140		254881			41055			0000			0000
150		298502			30791			0000			0000
160		341695			64576			0000			0000
170		399001			58160			0000			0000
180		383605			59444			0000			0000
190		457589			67997			0000			0000
200		1634919			68424			0000			0000
